year,budget_type,city_abc,expense_category,division_board,consultants_name,description_of_the_work,expenditure
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,Ernst & Young LLP,"To provide active risk management advisory support, including developing a procurement strategy for the selection of a System Integrator (SI) for the transformation of the City’s finance ERP and associated IT applications related to financial management and reporting. This work will support the City to develop a strategy that manages the City’s risk and helps optimize benefit, while establishing the areas that must be effectively completed internally and by the SI to deliver the City’s desired transformation. 

",35616
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,Ernst & Young LLP,"To provide active risk management advisory support, including developing a procurement strategy for the selection of a System Integrator (SI) for the transformation of the City’s finance ERP and associated IT applications related to financial management and reporting. This work will support the City to develop a strategy that manages the City’s risk and helps optimize benefit, while establishing the areas that must be effectively completed internally and by the SI to deliver the City’s desired transformation. 

",2656404.1
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,Deloitte LLP,"To provide consulting services for the Preparation Phase related to Financial Systems Transformation Project (FSTP), Design Phase and Build to Deploy Phase. Services include identifying how leading practices for asset management can be incorporated into the City's existing budgeting, financial reporting, and project management processes to address the Province of Ontario's asset management reporting requirements.",11122028.409999998
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide technical support and assist with performing data cleaning, manipulation, analysis and visualization on data to deliver insights and contribute to evidence informed decision for SAP business objects data services development.",24002.13
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide technical support and assist with performing data cleaning, manipulation, analysis and visualization on data to deliver insights and contribute to evidence informed decision for SAP business objects data services development.",24002.13
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide technical support and assist with performing data cleaning, manipulation, analysis and visualization on data to deliver insights and contribute to evidence informed decision for SAP business objects data services development.",24002.13
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide SAP functional consulting services such as advising on functional design, development and configuration of the SAP S/4HANA solution, and integration with SAP and non-SAP solutions for the identified business process stream. In addition services include assisting the development of the 'To-Be' solution following best practices and standard SAP business processes.


",55560.959999999999
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide SAP functional consulting services such as advising on functional design, development and configuration of the SAP S/4HANA solution, and integration with SAP and non-SAP solutions for the identified business process stream. In addition services include assisting the development of the 'To-Be' solution following best practices and standard SAP business processes.


",54492.480000000003
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide SAP functional consulting services such as advising on functional design, development and configuration of the SAP S/4HANA solution, and integration with SAP and non-SAP solutions for the identified business process stream. In addition services include assisting the development of the 'To-Be' solution following best practices and standard SAP business processes.


",41212.800000000003
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide SAP functional consulting services such as advising on functional design, development and configuration of the SAP S/4HANA solution, and integration with SAP and non-SAP solutions for the identified business process stream. In addition services include assisting the development of the 'To-Be' solution following best practices and standard SAP business processes.


",37244.160000000003
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide SAP functional consulting services such as advising on functional design, development and configuration of the SAP S/4HANA solution, and integration with SAP and non-SAP solutions for the identified business process stream. In addition services include assisting the development of the 'To-Be' solution following best practices and standard SAP business processes.


",55560.959999999999
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,2ISolutions Inc,"To provide SAP functional consulting services such as advising on functional design, development and configuration of the SAP S/4HANA solution, and integration with SAP and non-SAP solutions for the identified business process stream. In addition services include assisting the development of the 'To-Be' solution following best practices and standard SAP business processes.


",53424
2022,Capital,Finance and Treasury Services,Management / Research & Development,"Pension, Payroll & Employee Benefits",Addiev Corporate Training,To assist in the development of a PPEB divisional & unit training Curriculum.,12084
2022,Capital,Finance and Treasury Services,Management / Research & Development,"Pension, Payroll & Employee Benefits",Dizen Diachange Research & Con,To deliver a three-day training workshop to advise on design thinking for change management.,28450.06
2022,Capital,Infrastructure Services,Management / Research & Development,Transit Expansion Office,Arup Canada Inc.,To provide transportation accessibility modelling and economic modelling to Scarborough Subway Extension and Eglinton East LRT which will be used to advise the City.,54802.85
2022,Capital,Infrastructure Services,Technical,Toronto Water,Perkins & Will,To undertake the Mount Dennis Planning Framework Study,4151.57
2022,Capital,Infrastructure Services,Technical,Transportation Services,Toronto Waterfront Revitalization Corporation,To provide consulting services with the pre-construction works of Bridge and Public Realm at Lakeshore Blvd East.,461732.44
2022,Capital,Infrastructure Services,Technical,Transportation Services,RYERSON UNIVERSITY,"To monitor surface water flow for one year, analyze data and submitted a report to be used for setting a policy direction.",29917.200000000001
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To develop designs for placement of various features of School Safety Zones within the road network of each zone for Toronto 2021 & 2020 School Safety.,3256.32
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide construction contract inspection services for new traffic signal (approved by council) installations.,1877.48
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,"To provide consulting services, including the design work for Lower Don River area traffic.",2808.21
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide consulting services and perform contract administration Broadview Ave at Mill brook Crescent.,6675.45
2022,Capital,Infrastructure Services,Technical,Transportation Services,AECOM CANADA LTD,To conduct detailed safety assessments of 6 Senior Safety Zones in Area 1 to identify safety issues and recommend context specific countermeasures to improve safety for road users (Work Assignment Tp-20-3-3 | 2020 Area 1 Senior Safety Zones In-Service Road Safety Reviews ()).,8502.0499999999993
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To provide project management on ISSR and RSA Jane St Transit Priority Corridor and conduct detailed safety assessments of 6 Senior Safety Zones in Area 1 to identify safety issues and recommend context specific countermeasures to improve safety for road users.,7499.7100000000009
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To provide consulting services for Traffic Signal contract administration.,5356.65
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To provide design and construction contract administration of requested Accessible Pedestrian Signals (APS) at ten existing intersections in the City.,26532.749999999996
2022,Capital,Infrastructure Services,Technical,Transportation Services,Parsons Inc.,To provide design and construction contract administration of requested Accessible Pedestrian Signals (APS).,7546.52
2022,Capital,Infrastructure Services,Technical,Transportation Services,Toronto and Region Conservation Authority,To provide services for the 20 Deep Dene Drive Drainage Improvement Project to mitigate flood and drainage issues.,41920.75
2022,Capital,Infrastructure Services,Technical,Transportation Services,MSI MANAGEMENT LIMITED,To provide design services for streetscape improvements in conjunction with new development.,187740.74
2022,Capital,Infrastructure Services,Technical,Transportation Services,Toronto and Region Conservation Authority,"To collect data, survey and provide a detailed design for the culvert and drainage channel stabilization.",3576.55
2022,Capital,Infrastructure Services,Technical,Transportation Services,Toronto and Region Conservation Authority,"To develop a detailed design package for replacement of the degraded concrete trapezoidal channel with a new long-term, low-maintenance structure.",59117.33
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide construction contract inspection services for new traffic signal (approved by council) installations.,119868.18000000001
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To provide consulting services on the traffic control signal project and contract management.,84078.180000000008
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide consulting services for the design and contract administration of APS upgrades to existing traffic signals.,98258.18
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide consulting services for the design and contract administration of APS upgrades to existing traffic signals.,19784.690000000002
2022,Capital,Infrastructure Services,Technical,Transportation Services,Moon-Matz Ltd.,To provide new traffic control device design for category 3 roster #TP-2021-A3-04.,125063.05
2022,Capital,Infrastructure Services,Technical,Transportation Services,Moon-Matz Ltd.,To provide design and contract administration services for #TP-2021-A3-04.,39050.399999999994
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide consulting services for construction administration and inspection.,87383.86
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide consulting services for construction administration and inspection.,4675.88
2022,Capital,Infrastructure Services,Technical,Transportation Services,Moon-Matz Ltd.,To provide new traffic control device design services for category 3 roster  #TP-2021-A3-10.,95499.209999999992
2022,Capital,Infrastructure Services,Technical,Transportation Services,Moon-Matz Ltd.,To provide new traffic control device design services for category 3 roster  #TP-2021-A3-10.,16301.949999999999
2022,Capital,Infrastructure Services,Technical,Transportation Services,Parsons Inc.,To provide design and contract administration services for new traffic signal and CA assignment - NTCS TP-2021-A3-11.,65787.850000000006
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To provide design services for upgrades to traffic signals (B001327-A3-1 TORONTO - 5 NEW SIGNALS).,28406.300000000003
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To perform contract administration of requested Accessible Pedestrian Signals (APS) at ten existing intersections in the City.,177564.72999999992
2022,Capital,Infrastructure Services,Technical,Transportation Services,Parsons Inc.,To provide design services for Accessible Pedestrian Signals (APS) design.,185620.43
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To conduct an asset inventory and identify locations for City owned pedestrian scale lighting assets.,82737.990000000005
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide consulting services for the design of the Lower Don River Area Traffic.,5498.86
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To provide consulting services related to the design and contract review for traffic signals.,12129.79
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To establish a roster of suppliers eligible to provide professional engineering consulting services for Transportation Services Division.,232166.72999999998
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To consult on the design of left turn arrow installation for subsequent installation (B001460A TORONTO - LEFT TURN PHASE - STUDIES).,64277.11
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To perform design and contract administration of APS upgrades to existing traffic signals (B001327-A4 TORONTO 7 SIGNAL MODIFICATIONS).,75159.930000000008
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To perform services for collision data validation to provide accurate road safety data into a series of In Service Safety Reviews and other operational road safety studies.,14991.3
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,"To provide consulting services for the 2021 and 2022 School Safety Zone Design and Flexible In-road Traffic Calming Retrofit Design, through provision of communication support and management.",16330.439999999999
2022,Capital,Infrastructure Services,Technical,Transportation Services,Clean Air Partnership,To provide consulting services for the study on senior safety zones that will help inform more detailed engineering safety studies that will recommend safety improvements.,16990
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To provide collision data validation services.,27151.720000000005
2022,Capital,Infrastructure Services,Technical,Transportation Services,Human Factors North Inc./ Ergon,To conduct a comprehensive motorcycle safety study to provide safety recommendations and findings.,12658.95
2022,Capital,Infrastructure Services,Technical,Transportation Services,Aecom Canada Ltd,To conduct detailed safety assessments of 6 Senior Safety Zones in Area 1 to identify safety issues and recommend context specific countermeasures to improve safety for road users.,3739.68
2022,Capital,Infrastructure Services,Technical,Transportation Services,Transafe Consulting Ltd,To conduct a detailed safety assessments of 4 Senior Safety Zones in Area 2 to identify safety issues and recommend context specific countermeasures to improve safety for road users.,33298.410000000003
2022,Capital,Infrastructure Services,Technical,Transportation Services,Transafe Consulting Ltd,To conduct detailed safety assessments of 6 Senior Safety Zones in Area 2 to identify safety issues and recommend context specific countermeasures to improve safety for road users.,773.38
2022,Capital,Infrastructure Services,Technical,Transportation Services,TRANSOFT SOLUTIONS INC,To evaluate and quantify the anticipated safety benefits of pilot locations for left turn calming treatments as part of Vision Zero project.,1526.4
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,"To conduct an in-service safety review of roadways with high rate of serious injury and fatality that coincide with planned roadways for resurfacing and reconstruction in 2023 and identify short, medium and long term countermeasures to address specific safety concerns identified and incorporated into the scope of those planned capital projects (In-Service Road Safety Reviews of the 2023 Capital Works Program High KSI Collision Corridors).",24500.659999999996
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To conduct detailed safety assessments of 6 Senior Safety Zones in Area 1 to identify safety issues and recommend context specific countermeasures to improve safety for road users (2023 CWP High KSI Corridor).,25109
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,"To perform services including field observation, identification of locations in need of remediation, and cost-benefit analysis for applicable countermeasures for the Toronto- Mimico In Service Rd Safety.",60694.75
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To conduct detailed safety assessments of 6 Senior Safety Zones in Area 1 to identify safety issues and recommend context specific countermeasures to improve safety for road users (137697 - ISSR and RSA Jane St Transit Priority Corridor).,216984.78
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To conduct detailed safety assessments of 6 Senior Safety Zones in Area 1 to identify safety issues and recommend context specific countermeasures to improve safety for road users (137697 - ISSR and RSA Jane St Transit Priority Corridor).,2554.1799999999998
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide consulting services for the 2023 School Safety Zone Design and provide communication support.,7754.11
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,"To develop geometric design for intersection modification of priority high-risk intersections, for implementation as quick-build geometric safety improvements.",186622.47999999995
2022,Capital,Infrastructure Services,Technical,Transportation Services,HDR Corporation,To provide an In-Service Safety Review and Road Safety Audit for Cultural Corridors.,4776.6099999999997
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To provide a recommendation for Intelligent Intersection Technology and provide advisory services for procurement preparation.,32312.62
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,"To perform inspections and provide contract administration services for Roster Work Assignment #2, Detection Upgrade.",162716.26999999996
2022,Capital,Infrastructure Services,Technical,Transportation Services,GHD LIMITED,To provide consulting services for the North York Class Environmental Assessment Addendum.,14740.19
2022,Capital,Infrastructure Services,Technical,Transportation Services,Aecom Canada Ltd,To provide expert advice for the Park Lawn / Lake Shore Transportation Master Plan.,83548.78
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide design and cost administration of APS upgrades to existing traffic signals for Reimagining Yonge Street Environmental Assessment (Sheppard to Finch).,4374.5
2022,Capital,Infrastructure Services,Technical,Transportation Services,Toronto Hydro Electric System,To perform an investigation and assessment of assets In conflict with St Clair Ave W .,3947.11
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To perform an environmental assessment study to provide an assessment which includes a more comprehensive review of options in order to both maintain traffic capacity and implement cycling facilities.,2345.5700000000002
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide professional planning & engineering services to support delivery of transportation service's capital program.,379961.82
2022,Capital,Infrastructure Services,Technical,Transportation Services,HDR Corporation,"To provide consulting services of identifying, evaluating, and programming for surface transit corridors framework.",4746.7
2022,Capital,Infrastructure Services,Technical,Transportation Services,HDR Corporation,To provide planning and engineering services for Yorkdale.,144222.56999999998
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,"To perform a Municipal Class Environmental Assessment study for a new grade-separated rail crossing, and a technical peer review of the 60% engineering design of a new street submitted by developer.",11019.190000000002
2022,Capital,Infrastructure Services,Technical,Transportation Services,Dillon Consulting,To provide consulting services on the Rouge Park Bridges - Transportation Master Plan.,112422.81
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide consulting services on an engineering design for the lower Yonge precinct plan.,258555.2
2022,Capital,Infrastructure Services,Technical,Transportation Services,HDR Corporation,To conduct a study on Golden Mile environmental assessment.,394822.26
2022,Capital,Infrastructure Services,Technical,Transportation Services,Parsons Inc.,To perform a feasibility study and develop a tactical plan for Avenue Road (RFSQ 9117-20-7068).,74554.35000000002
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide consulting services for Dunn & Dowling Bridge Replacement.,48305.8
2022,Capital,Infrastructure Services,Technical,Transportation Services,Perkins & Will,To undertake a comprehensive Planning Framework study to support the development of a renewed vision for Mount Dennis recommend tools to implement that vision. ,26309.19
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To conduct an engineering study on Finch West goods movement.,11793.769999999999
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To develop a Transportation Master Plan (TMP) that focuses on improved goods movement for a study area within the Finch West area.,16310.41
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,"To provide consulting services on a Municipal Class Environment Assessment (EA) study for a new street with a  grade-separation with rail corridor, and potential new crossings, multi-use trail facilities, and other operational/physical improvements to existing infrastructure.",149816.25
2022,Capital,Infrastructure Services,Technical,Transportation Services,LEA Consulting Ltd,To provide technical advisory services on the Steeles Avenue Grade Separation Design Data (DD).,1574.1100000000006
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide project management services on the Esplanade / Mill Street Bikeway and Brunswick Ave. Improvements.,183154.76
2022,Capital,Infrastructure Services,Technical,Transportation Services,Alta Planning + Design Canada,To undertake the Mount Dennis Planning Framework study.,16825.419999999998
2022,Capital,Infrastructure Services,Technical,Transportation Services,Toronto and Region Conservation Authority,To provide project and contract management on the Rosedale Valley Road Trail State of Goods Repair (SOGR) project.,172608.04
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To provide consulting services on the bicycle signal design for ten sites.,92292.89
2022,Capital,Infrastructure Services,Technical,Transportation Services,CIMA Canada Inc.,To provide design services for 10 Bike Signals.,7601.4699999999993
2022,Capital,Infrastructure Services,Technical,Transportation Services,ALTA PLANNING + DESIGN CANADA,To provide consulting services on the design & project management on Sheppard Avenue Complete Street.,213974.65000000002
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide design services for the Martin Grove Cycling Connections.,13632.79
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To provide design services for Gerrard St East Bikeway -Sherbourne St to Parliament St. reconstruction.,29901.56
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide consulting services for the Bloor West Bikeway extension (turn calming guidance).,87669.01999999999
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,"To design the traffic signal timing at two complex and critical intersections in the Leaside, Thorncliffe Park Drive and Donlands areas, and coordinating their corridors. The outcomes are improved safety, bus and vehicle operations and new mobility options for pedestrians and cyclists.",38605.199999999997
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,"To design the traffic signal timing at two complex and critical intersections in the Leaside, Thorncliffe Park Drive and Donlands areas, and coordinating their corridors. The outcomes are improved safety, bus and vehicle operations and new mobility options for pedestrians and cyclists.",3370.7999999999997
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,"To provide detailed design and contract administration services for three intersection modifications in the Downsview neighbourhood, for Downsview Cycling Connections.",108269.54999999999
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide consulting services for Richmond Adelaide Bike Lane Improvements.,1170.24
2022,Capital,Infrastructure Services,Technical,Transportation Services,IBI Group Professional Service,To provide design and contract administration services for intersection upgrades to existing traffic signals and new traffic and bicycle signals (TP-2021-A3-03 under RFSQ No 9117-20-7068 for Signal Design (CPP modifications)).,219133.03
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide design services for the Richmond Adelaide Bike Lane improvements.,15338.18
2022,Capital,Infrastructure Services,Technical,Transportation Services,ALTA PLANNING + DESIGN CANADA,To provide design services and perform a feasibility study for Victoria Park Ave.,178583.71
2022,Capital,Infrastructure Services,Technical,Transportation Services,ALTA PLANNING + DESIGN CANADA,To provide consulting services for General Cycling Renderings.,28781.63
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To perform design work for CPP modifications to signals for the cycle network plan project (RFSQ A3 Assignment# TP- TP-2021-A3-06).,94093.9
2022,Capital,Infrastructure Services,Technical,Transportation Services,CLEAN AIR PARTNERSHIP,To perform a street project intercept survey at Eglinton for the Cycling Network Plan project.,40800
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To provide design services for the Davenport Accessible Bus/Bike Platform.,24674.51
2022,Capital,Infrastructure Services,Technical,Transportation Services,WSP Canada Inc.,To develop drawings showing placement of planned speed humps for staff reports as well as for contractors to assist with implementation.,11075.16
2022,Capital,Infrastructure Services,Technical,Transportation Services,Dillon Consulting,To conduct an Engineering Study relating to Schedule C of an environmental assessment for the extension of Broadview.,155504.36000000002
2022,Capital,Infrastructure Services,Technical,Transportation Services,HDR Corporation,To provide consulting services for the Public Consultation for the Surface Transit Network Plan.,62567.539999999994
2022,Capital,Infrastructure Services,Technical,Transportation Services,Lura Consulting,To provide consulting services for the public consultation on RapidTO Jane Street.,21704.25
2022,Capital,Infrastructure Services,Information Technology,Transportation Services,Richter Advisory Group Inc.,To provide a threat and risk assessment for the City of Toronto's Intelligent Transportation Systems (ITS) and related infrastructure.,10765.03
2022,Capital,Infrastructure Services,Management / Research & Development,Transportation Services,The Hospital For Sick Children,"To provide consulting services to assist with the evaluation of the effectiveness of Automated Speed Enforcement (ASE) in Toronto, provide feedback on the ASE site selection process and prepare a jurisdictional scan of other similar ASE programs",40001.67
2022,Capital,Infrastructure Services,Creative Communications,Transportation Services,"SAMARDZIC, IGOR",To provide reproduction copyrights for Kensington Market illustration.,800
2022,Capital,Infrastructure Services,Creative Communications,Transportation Services,"WONG, BRITTANY NIKO",To provide reproduction copyrights for Kensington Market illustration.,500
2022,Capital,Infrastructure Services,Technical,Solid Waste Management Services,GHD Limited,To provide advise on how best to continue to maintain service levels despite the decommissioning of the Commissioner's Street Transfer Station (CSTS).,51480.89
2022,Capital,Infrastructure Services,Technical,Solid Waste Management Services,Golder Associates Ltd.,To provide corrective action plan and performance evaluation of the Sunrise Closed Landfill.,16557.8
2022,Capital,Infrastructure Services,Management / Research & Development,Solid Waste Management Services,Strategy Matters Inc,To provide consulting services re: transition of the blue bin recycling program to extended producer responsibility.,168236.40000000002
2022,Capital,Infrastructure Services,Management / Research & Development,Solid Waste Management Services,GHD Limited,The study is consulting in nature as the consultant is analyzing the City's current & future residual waste disposal requirements and providing options for the City to consider to manage its waste in the future.,59387.340000000004
2022,Capital,Infrastructure Services,Management / Research & Development,Solid Waste Management Services,FCS Group Solutions,"This PO is for a contract with FCS, a financial consultant group that's been retained to perform a review of Solid Waste Management Services' utility rate model and cost of services. The objective and goal of this study is to determine if there are any gaps that may prevent SWMS from operating a sustainable utility and to provide recommended approaches to address any potential gaps.",194515.53999999998
2022,Capital,Infrastructure Services,Management / Research & Development,Solid Waste Management Services,KPMG LLP,To provide financial analysis to Support the Transition of the Blue Box Program to Extended Producer Responsibility and Resetting the City's Rate-Based System.,62666.35
